MFile 1 2 480
MTrk
0 Meta 0x08  47 79 6d 6e 6f 70 e9 64 69 65 20 31 00
0 Meta 0x0a  45 2e 20 53 61 74 69 65 00
0 TimeSig 3/4 24 8
0 KeySig 2 major
0 Tempo 833333
0 PrCh ch=1 p=0
2 Par ch=1 c=7 v=100
4 Par ch=1 c=10 v=64
6 Par ch=1 c=91 v=30
8 Par ch=1 c=93 v=30
480 On ch=1 n=66 v=33
480 On ch=1 n=62 v=33
480 On ch=1 n=59 v=33
1439 On ch=1 n=66 v=0
1439 On ch=1 n=62 v=0
1439 On ch=1 n=59 v=0
1920 On ch=1 n=66 v=33
1920 On ch=1 n=61 v=33
1920 On ch=1 n=57 v=33
2879 On ch=1 n=66 v=0
2879 On ch=1 n=61 v=0
2879 On ch=1 n=57 v=0
3360 On ch=1 n=66 v=33
3360 On ch=1 n=62 v=33
3360 On ch=1 n=59 v=33
4319 On ch=1 n=66 v=0
4319 On ch=1 n=62 v=0
4319 On ch=1 n=59 v=0
4800 On ch=1 n=66 v=33
4800 On ch=1 n=61 v=33
4800 On ch=1 n=57 v=33
5759 On ch=1 n=66 v=0
5759 On ch=1 n=61 v=0
5759 On ch=1 n=57 v=0
6240 On ch=1 n=78 v=33
6240 On ch=1 n=66 v=33
6240 On ch=1 n=62 v=33
6240 On ch=1 n=59 v=33
6719 On ch=1 n=78 v=0
6720 On ch=1 n=81 v=33
7199 On ch=1 n=81 v=0
7199 On ch=1 n=66 v=0
7199 On ch=1 n=62 v=0
7199 On ch=1 n=59 v=0
7200 On ch=1 n=79 v=33
7679 On ch=1 n=79 v=0
7680 On ch=1 n=78 v=33
7680 On ch=1 n=66 v=33
7680 On ch=1 n=61 v=33
7680 On ch=1 n=57 v=33
8159 On ch=1 n=78 v=0
8160 On ch=1 n=73 v=33
8639 On ch=1 n=73 v=0
8639 On ch=1 n=66 v=0
8639 On ch=1 n=61 v=0
8639 On ch=1 n=57 v=0
8640 On ch=1 n=71 v=33
9119 On ch=1 n=71 v=0
9120 On ch=1 n=73 v=33
9120 On ch=1 n=66 v=33
9120 On ch=1 n=62 v=33
9120 On ch=1 n=59 v=33
9599 On ch=1 n=73 v=0
9600 On ch=1 n=74 v=33
10079 On ch=1 n=74 v=0
10079 On ch=1 n=66 v=0
10079 On ch=1 n=62 v=0
10079 On ch=1 n=59 v=0
10080 On ch=1 n=69 v=33
10560 On ch=1 n=66 v=33
10560 On ch=1 n=61 v=33
10560 On ch=1 n=57 v=33
11519 On ch=1 n=69 v=0
11519 On ch=1 n=66 v=0
11519 On ch=1 n=61 v=0
11519 On ch=1 n=57 v=0
11520 On ch=1 n=66 v=33
12000 On ch=1 n=66 v=33
12000 On ch=1 n=62 v=33
12000 On ch=1 n=59 v=33
12959 On ch=1 n=66 v=0
12959 On ch=1 n=62 v=0
12959 On ch=1 n=59 v=0
13440 On ch=1 n=66 v=33
13440 On ch=1 n=61 v=33
13440 On ch=1 n=57 v=33
14399 On ch=1 n=66 v=0
14399 On ch=1 n=61 v=0
14399 On ch=1 n=57 v=0
14880 On ch=1 n=66 v=33
14880 On ch=1 n=62 v=33
14880 On ch=1 n=59 v=33
15839 On ch=1 n=66 v=0
15839 On ch=1 n=62 v=0
15839 On ch=1 n=59 v=0
16320 On ch=1 n=66 v=33
16320 On ch=1 n=61 v=33
16320 On ch=1 n=57 v=33
17279 On ch=1 n=66 v=0
17279 On ch=1 n=61 v=0
17279 On ch=1 n=57 v=0
17279 On ch=1 n=66 v=0
17760 On ch=1 n=78 v=33
17760 On ch=1 n=66 v=33
17760 On ch=1 n=62 v=33
17760 On ch=1 n=59 v=33
18239 On ch=1 n=78 v=0
18240 On ch=1 n=81 v=33
18719 On ch=1 n=81 v=0
18719 On ch=1 n=66 v=0
18719 On ch=1 n=62 v=0
18719 On ch=1 n=59 v=0
18720 On ch=1 n=79 v=33
19199 On ch=1 n=79 v=0
19200 On ch=1 n=78 v=33
19200 On ch=1 n=66 v=33
19200 On ch=1 n=61 v=33
19200 On ch=1 n=57 v=33
19679 On ch=1 n=78 v=0
19680 On ch=1 n=73 v=33
20159 On ch=1 n=73 v=0
20159 On ch=1 n=66 v=0
20159 On ch=1 n=61 v=0
20159 On ch=1 n=57 v=0
20160 On ch=1 n=71 v=33
20639 On ch=1 n=71 v=0
20640 On ch=1 n=73 v=33
